DD/MM/YYYY HH:MM (UTC),Latitude (decimal degrees),Longitude (decimal degrees),Significant Wave Height (m),Peak Period (s)
04/06/2017 14:00 (UTC),-68.51130676269531,-175.91879272460938,,
04/06/2017 14:15 (UTC),-68.51251983642578,-175.9254608154297,,
04/06/2017 14:30 (UTC),-68.51378631591797,-175.9316864013672,,
04/06/2017 14:45 (UTC),-68.5151138305664,-175.93846130371094,,
04/06/2017 15:00 (UTC),-68.51634979248047,-175.94613647460938,,
04/06/2017 15:15 (UTC),-68.51734924316406,-175.95347595214844,,
04/06/2017 15:30 (UTC),-68.51831817626953,-175.96078491210938,,
04/06/2017 15:45 (UTC),-68.51913452148438,-175.96849060058594,,
04/06/2017 16:00 (UTC),-68.51969909667969,-175.97540283203125,,
04/06/2017 16:15 (UTC),-68.5206298828125,-175.9830780029297,,
04/06/2017 16:30 (UTC),-68.52063751220703,-175.9911346435547,,
04/06/2017 16:45 (UTC),-68.5208511352539,-175.99856567382812,,
04/06/2017 17:00 (UTC),-68.52084350585938,-176.00576782226562,,
04/06/2017 17:15 (UTC),-68.52061462402344,-176.0136260986328,,
04/06/2017 17:30 (UTC),-68.5201416015625,-176.02120971679688,,
04/06/2017 17:45 (UTC),-68.51946258544922,-176.02890014648438,,
04/06/2017 18:15 (UTC),-68.5174789428711,-176.04318237304688,,
04/06/2017 18:30 (UTC),-68.51604461669922,-176.05032348632812,,
04/06/2017 18:45 (UTC),-68.51455688476562,-176.05734252929688,,
04/06/2017 19:00 (UTC),-68.51280212402344,-176.06427001953125,,
04/06/2017 19:15 (UTC),-68.51094818115234,-176.0711212158203,,
04/06/2017 19:30 (UTC),-68.50882720947266,-176.0780029296875,,
04/06/2017 19:45 (UTC),-68.5065689086914,-176.08392333984375,,
04/06/2017 20:00 (UTC),-68.50430297851562,-176.0896453857422,,
04/06/2017 20:15 (UTC),-68.50182342529297,-176.0950927734375,,
04/06/2017 20:30 (UTC),-68.49889373779297,-176.10089111328125,,
04/06/2017 20:45 (UTC),-68.4963150024414,-176.1058807373047,,
04/06/2017 21:00 (UTC),-68.49365234375,-176.11099243164062,,
04/06/2017 21:15 (UTC),-68.49095153808594,-176.11572265625,,
04/06/2017 21:30 (UTC),-68.48841094970703,-176.12033081054688,,
04/06/2017 21:45 (UTC),-68.48573303222656,-176.124755859375,,
04/06/2017 22:00 (UTC),-68.48309326171875,-176.12896728515625,,
04/06/2017 22:15 (UTC),-68.48062133789062,-176.13291931152344,,
04/06/2017 22:30 (UTC),-68.4781494140625,-176.1368865966797,,
04/06/2017 22:45 (UTC),-68.47553253173828,-176.14064025878906,,
04/06/2017 23:00 (UTC),-68.47298431396484,-176.1443328857422,,
04/06/2017 23:15 (UTC),-68.4706039428711,-176.14776611328125,,
04/06/2017 23:30 (UTC),-68.46845245361328,-176.1511993408203,,
04/06/2017 23:45 (UTC),-68.46631622314453,-176.15415954589844,,
05/06/2017 00:15 (UTC),-68.46240997314453,-176.1597442626953,,
05/06/2017 00:30 (UTC),-68.46073150634766,-176.16221618652344,,
05/06/2017 00:45 (UTC),-68.45917510986328,-176.1640625,,
05/06/2017 01:00 (UTC),-68.45763397216797,-176.1661834716797,,
05/06/2017 01:15 (UTC),-68.4564208984375,-176.16864013671875,,
05/06/2017 01:30 (UTC),-68.45542907714844,-176.17042541503906,,
05/06/2017 01:45 (UTC),-68.45457458496094,-176.171630859375,,
05/06/2017 02:00 (UTC),-68.45388793945312,-176.17266845703125,,
05/06/2017 02:15 (UTC),-68.45349884033203,-176.17384338378906,,
05/06/2017 02:30 (UTC),-68.45296478271484,-176.17364501953125,,
05/06/2017 02:45 (UTC),-68.4527359008789,-176.17434692382812,,
05/06/2017 03:00 (UTC),-68.45242309570312,-176.17416381835938,,
05/06/2017 03:15 (UTC),-68.45230102539062,-176.17449951171875,,
05/06/2017 03:30 (UTC),-68.45211029052734,-176.17425537109375,,
05/06/2017 03:45 (UTC),-68.45198822021484,-176.17420959472656,,
05/06/2017 04:00 (UTC),-68.45185089111328,-176.17410278320312,,
05/06/2017 04:15 (UTC),-68.45162963867188,-176.17364501953125,,
05/06/2017 04:30 (UTC),-68.45152282714844,-176.17295837402344,,
05/06/2017 04:45 (UTC),-68.4512939453125,-176.17239379882812,,
05/06/2017 05:00 (UTC),-68.45098114013672,-176.1717987060547,,
05/06/2017 05:15 (UTC),-68.45065307617188,-176.17103576660156,,
05/06/2017 05:30 (UTC),-68.45026397705078,-176.17010498046875,,
05/06/2017 05:45 (UTC),-68.44982147216797,-176.1693115234375,,
05/06/2017 06:00 (UTC),-68.4493408203125,-176.16844177246094,,
05/06/2017 06:15 (UTC),-68.4489517211914,-176.1678924560547,,
05/06/2017 06:30 (UTC),-68.44843292236328,-176.1670379638672,,
05/06/2017 06:45 (UTC),-68.4477310180664,-176.16653442382812,,
05/06/2017 07:00 (UTC),-68.4471206665039,-176.1659698486328,,
05/06/2017 07:15 (UTC),-68.44645690917969,-176.16494750976562,,
05/06/2017 07:30 (UTC),-68.44546508789062,-176.16500854492188,,
05/06/2017 07:45 (UTC),-68.44477844238281,-176.1645965576172,,
05/06/2017 08:00 (UTC),-68.44392395019531,-176.16453552246094,,
05/06/2017 08:15 (UTC),-68.44316864013672,-176.16477966308594,,
05/06/2017 08:30 (UTC),-68.44229125976562,-176.1650848388672,,
05/06/2017 08:45 (UTC),-68.44153594970703,-176.1655731201172,,
05/06/2017 09:00 (UTC),-68.44073486328125,-176.1663360595703,,
05/06/2017 09:15 (UTC),-68.43991088867188,-176.16757202148438,,
05/06/2017 09:30 (UTC),-68.43904876708984,-176.1690216064453,,
05/06/2017 09:45 (UTC),-68.43815612792969,-176.17091369628906,,
05/06/2017 21:15 (UTC),-68.41624450683594,-176.19827270507812,,
05/06/2017 21:30 (UTC),-68.41529846191406,-176.19700622558594,,
05/06/2017 21:45 (UTC),-68.41436767578125,-176.19635009765625,,
05/06/2017 22:00 (UTC),-68.4135513305664,-176.19631958007812,,
05/06/2017 22:15 (UTC),-68.41266632080078,-176.1959991455078,,
05/06/2017 22:30 (UTC),-68.41185760498047,-176.1958465576172,,
05/06/2017 22:45 (UTC),-68.4110107421875,-176.1958770751953,,
05/06/2017 23:00 (UTC),-68.41033172607422,-176.19607543945312,,
05/06/2017 23:15 (UTC),-68.4096908569336,-176.19644165039062,,
05/06/2017 23:30 (UTC),-68.40907287597656,-176.19728088378906,,
05/06/2017 23:45 (UTC),-68.40861511230469,-176.1982421875,,
06/06/2017 00:00 (UTC),-68.40816497802734,-176.19920349121094,,
06/06/2017 00:15 (UTC),-68.40788269042969,-176.20057678222656,,
06/06/2017 00:30 (UTC),-68.40753173828125,-176.2015380859375,,
06/06/2017 00:45 (UTC),-68.40750122070312,-176.20315551757812,,
06/06/2017 01:00 (UTC),-68.40754699707031,-176.20504760742188,,
06/06/2017 01:15 (UTC),-68.40780639648438,-176.2070770263672,,
06/06/2017 01:30 (UTC),-68.40812683105469,-176.2092742919922,,
06/06/2017 01:45 (UTC),-68.40863037109375,-176.2118377685547,,
06/06/2017 02:00 (UTC),-68.40924072265625,-176.21463012695312,,
06/06/2017 02:15 (UTC),-68.41010284423828,-176.21815490722656,0.11034491189816507,15.058823529411764
06/06/2017 02:30 (UTC),-68.4106216430664,-176.22088623046875,,
06/06/2017 02:45 (UTC),-68.4115982055664,-176.2244873046875,,
06/06/2017 03:00 (UTC),-68.41258239746094,-176.22845458984375,,
06/06/2017 03:15 (UTC),-68.4136962890625,-176.23338317871094,,
06/06/2017 03:30 (UTC),-68.4147720336914,-176.23800659179688,,
06/06/2017 03:45 (UTC),-68.41582489013672,-176.24310302734375,,
06/06/2017 04:00 (UTC),-68.41697692871094,-176.24859619140625,,
06/06/2017 04:15 (UTC),-68.41801452636719,-176.25425720214844,,
06/06/2017 04:30 (UTC),-68.41910552978516,-176.2603759765625,,
06/06/2017 04:45 (UTC),-68.41998291015625,-176.2665557861328,,
06/06/2017 05:00 (UTC),-68.42089080810547,-176.2731170654297,,
06/06/2017 05:15 (UTC),-68.42167663574219,-176.27984619140625,,
06/06/2017 05:30 (UTC),-68.42242431640625,-176.2867889404297,,
06/06/2017 05:45 (UTC),-68.4231185913086,-176.2943878173828,,
